n,alpha,beta,density,seed,base_cost,my_cost,delta_base,gap_perc,status,time
50,0,0.5,0.2,42,53.72,15.04,38.67,71.99,BEAT BASE,1.9576
50,0,0.5,0.5,42,38.35,7.90,30.45,79.39,BEAT BASE,1.4857
50,0,0.5,1.0,42,35.71,5.45,30.26,84.74,BEAT BASE,1.4760
50,0,1,0.2,42,53.72,15.19,38.53,71.72,BEAT BASE,1.5206
50,0,1,0.5,42,38.35,7.83,30.52,79.58,BEAT BASE,1.5347
50,0,1,1.0,42,35.71,5.58,30.13,84.39,BEAT BASE,1.5413
50,0,2,0.2,42,53.72,15.22,38.50,71.67,BEAT BASE,1.5477
50,0,2,0.5,42,38.35,7.85,30.50,79.54,BEAT BASE,1.5165
50,0,2,1.0,42,35.71,5.45,30.26,84.74,BEAT BASE,1.4751
50,0,4,0.2,42,53.72,15.20,38.52,71.71,BEAT BASE,1.5125
50,0,4,0.5,42,38.35,7.70,30.65,79.91,BEAT BASE,1.5311
50,0,4,1.0,42,35.71,5.54,30.17,84.48,BEAT BASE,1.4695
50,1.0,0.5,0.2,42,1121.83,870.86,250.98,22.37,BEAT BASE,20.7557
50,1.0,0.5,0.5,42,817.17,649.64,167.54,20.50,BEAT BASE,19.6746
50,1.0,0.5,1.0,42,646.43,562.46,83.97,12.99,BEAT BASE,18.3352
50,1.0,1,0.2,42,12897.33,12887.42,9.91,0.08,BEAT BASE,14.7948
50,1.0,1,0.5,42,9408.58,9399.22,9.36,0.10,BEAT BASE,14.8499
50,1.0,1,1.0,42,8662.89,8658.59,4.30,0.05,BEAT BASE,14.6919
50,1.0,2,0.2,42,2623731.82,19247.06,2604484.76,99.27,BEAT BASE,0.5233
50,1.0,2,0.5,42,1876144.04,12372.20,1863771.84,99.34,BEAT BASE,0.1519
50,1.0,2,1.0,42,2121786.14,10328.92,2111457.23,99.51,BEAT BASE,0.0261
50,1.0,4,0.2,42,232213155897.16,15734.42,232213140162.74,100.00,BEAT BASE,0.0312
