n,alpha,beta,density,seed,base_cost,my_cost,rival_cost,gap_perc,status,time
100,0.0,0.5,0.2,9626,89.73,19.40,18.31,5.95,BEAT BASE,71.4504
100,0.0,0.5,0.5,6544,78.94,11.73,11.31,3.72,BEAT BASE,69.8295
100,0.0,0.5,1.0,4402,74.54,8.31,7.87,5.60,BEAT BASE,63.8057
100,0.0,1.0,0.2,5775,81.54,16.94,16.07,5.42,BEAT BASE,55.7130
100,0.0,1.0,0.5,1180,77.88,11.61,10.93,6.24,BEAT BASE,52.2722
100,0.0,2.0,0.2,271,93.38,93.38,29.95,211.76,BEAT BASE,0.1414
100,0.0,1.0,1.0,7754,75.75,8.11,7.76,4.57,BEAT BASE,50.6305
100,0.0,2.0,0.5,4786,84.80,84.80,19.84,327.47,BEAT BASE,0.2680
100,0.0,4.0,0.2,37,101.09,101.09,31.90,216.95,LOSE,0.1393
100,0.0,2.0,1.0,3926,77.27,77.27,19.96,287.05,LOSE,0.4307
100,0.0,4.0,0.5,3131,76.72,76.72,21.21,261.74,BEAT BASE,0.2674
100,0.0,4.0,1.0,1541,68.51,68.51,18.48,270.69,BEAT BASE,0.4804
100,1.0,0.5,0.2,6887,2172.49,1648.44,1827.66,-9.81,WIN (BOTH),71.3263
100,1.0,0.5,0.5,3578,1576.50,1190.33,1311.83,-9.26,WIN (BOTH),65.8983
100,1.0,0.5,1.0,1487,1364.95,1105.33,1114.42,-0.82,WIN (BOTH),67.0671
100,1.0,1.0,0.2,3970,27946.45,27921.27,27913.83,0.03,BEAT BASE,56.5710
100,1.0,1.0,0.5,6453,19075.14,19064.57,19063.91,0.00,BEAT BASE,57.9243
100,1.0,1.0,1.0,6088,20773.61,20756.36,20763.11,-0.03,WIN (BOTH),53.7583
100,2.0,0.5,0.2,4828,3045.24,2227.87,2468.61,-9.75,WIN (BOTH),67.3610
100,2.0,0.5,0.5,2747,2321.73,1794.74,1935.05,-7.25,WIN (BOTH),67.3490
100,1.0,2.0,0.5,2103,4321615.78,37565.65,28570.98,31.48,BEAT BASE,29.4736
100,1.0,2.0,1.0,9239,5643258.54,38096.04,24146.28,57.77,BEAT BASE,48.9620
100,1.0,2.0,0.2,5308,5278849.11,44815.41,37856.26,18.38,BEAT BASE,13.9837
100,1.0,4.0,1.0,1689,835095561104.31,37176.62,18461.00,101.38,BEAT BASE,61.5851
100,1.0,4.0,0.5,4668,673421830471.22,35974.59,20957.40,71.66,BEAT BASE,31.9331
100,1.0,4.0,0.2,3624,409593618268.18,38925.79,28733.94,35.47,BEAT BASE,15.7751
100,2.0,0.5,1.0,5495,1896.27,1564.15,1578.41,-0.90,WIN (BOTH),65.2337
100,2.0,1.0,0.2,9602,49883.24,49857.78,49853.89,0.01,BEAT BASE,57.5762
100,2.0,1.0,0.5,3450,32929.26,32919.06,32918.81,0.00,BEAT BASE,61.5639
100,2.0,1.0,1.0,3150,38031.15,38018.24,38021.95,-0.01,WIN (BOTH),56.3236
100,2.0,2.0,0.2,2459,20217986.14,82818.78,79748.29,3.85,BEAT BASE,16.3259
100,2.0,2.0,0.5,9224,15398120.80,61598.45,46852.29,31.47,BEAT BASE,32.4371
100,4.0,0.5,0.2,4646,4444.31,3421.58,3725.88,-8.17,WIN (BOTH),70.7128
100,4.0,0.5,0.5,700,3279.01,2463.90,2769.56,-11.04,WIN (BOTH),68.9573
100,2.0,2.0,1.0,9875,19687328.32,69547.06,43076.79,61.45,BEAT BASE,59.9249
100,2.0,4.0,1.0,6857,12304616642211.90,131659.18,33387.25,294.34,BEAT BASE,57.6268
100,2.0,4.0,0.5,7439,7380571170426.64,88413.18,31959.80,176.64,BEAT BASE,32.0452
100,4.0,1.0,0.2,8944,95834.50,95815.02,95811.23,0.00,BEAT BASE,56.0305
100,4.0,0.5,1.0,1495,2782.02,2322.06,2344.42,-0.95,WIN (BOTH),65.8037
100,2.0,4.0,0.2,3158,7510983661992.81,97406.00,52310.29,86.21,BEAT BASE,15.5482
100,4.0,1.0,0.5,9987,86460.79,86450.95,86449.79,0.00,BEAT BASE,58.1689
100,4.0,1.0,1.0,8028,76095.39,76086.23,76090.09,-0.01,WIN (BOTH),60.7983
